Date,Team 1,Score 1,Score 2,Team 2,Goals_1H_T1,Goals_1H_T2,Goals_2H_T1,Goals_2H_T2,Yellow_Cards_T1,Yellow_Cards_T2,Red_Cards_T1,Red_Cards_T2,Corners_1H_T1,Corners_1H_T2,Corners_2H_T1,Corners_2H_T2,Corners_Match_T1,Corners_Match_T2,Corners_Total,xG_T1,xG_T2,Shots_T1,Shots_T2,Shots_On_Target_T1,Shots_On_Target_T2,Fouls_T1,Fouls_T2,Stage
19/06/2026,Scotland,0,1,Morocco,0,1.0,0,0.0,1,1.0,0,0.0,0,3.0,2,2.0,2,5.0,7,0.51,0.99,6,12.0,0,2.0,11,8.0,GROUP STAGE
20/06/2026,Brazil,3,0,Haiti,3,0.0,0,0.0,1,3.0,0,0.0,4,1.0,0,3.0,4,4.0,8,1.75,0.23,8,7.0,5,3.0,13,14.0,GROUP STAGE
20/06/2026,Turkey,0,1,Paraguay,0,1.0,0,0.0,1,1.0,0,1.0,5,0.0,7,0.0,12,0.0,12,2.17,0.32,32,7.0,5,2.0,14,15.0,GROUP STAGE
20/06/2026,Netherlands,5,1,Sweden,2,0.0,3,1.0,0,3.0,0,0.0,1,2.0,1,3.0,2,5.0,7,2.61,1.01,10,16.0,7,8.0,9,12.0,GROUP STAGE
20/06/2026,Germany,2,1,Ivory Coast,0,1.0,2,0.0,0,0.0,0,0.0,3,1.0,5,2.0,8,3.0,11,1.89,1.22,16,9.0,7,2.0,5,7.0,GROUP STAGE
21/06/2026,Ecuador,0,0,Curacao,0,0.0,0,0.0,1,5.0,0,0.0,1,0.0,8,0.0,9,0.0,9,2.84,0.5,27,10.0,15,3.0,7,10.0,GROUP STAGE
21/06/2026,Tunisia,0,4,Japan,0,2.0,0,2.0,0,0.0,0,0.0,1,2.0,2,3.0,3,5.0,8,0.05,2.13,2,11.0,0,5.0,8,15.0,GROUP STAGE
21/06/2026,Spain,4,0,Saudi Arabia,3,0.0,1,0.0,0,2.0,0,0.0,4,1.0,2,0.0,6,1.0,7,2.30,0.14,22,3.0,8,1.0,10,2.0,GROUP STAGE
21/06/2026,Belgium,0,0,Iran,0,0.0,0,0.0,1,1.0,1,0.0,2,1.0,2,1.0,4,2.0,6,1.79,0.62,23,7.0,7,3.0,7,9.0,GROUP STAGE
21/06/2026,Uruguay,2,2,Cape Verde,2,1.0,0,1.0,2,2.0,0,0.0,4,1.0,7,3.0,11,4.0,15,2.32,0.88,17,12.0,2,4.0,11,4.0,GROUP STAGE
22/06/2026,New Zealand,1,3,Egypt,1,0.0,0,3.0,2,1.0,0,0.0,1,1.0,3,2.0,4,3.0,7,1.24,1.87,11,19.0,5,7.0,14,8.0,GROUP STAGE
22/06/2026,Argentina,2,0,Austria,1,0.0,1,0.0,2,2.0,0,0.0,0,2.0,1,1.0,1,3.0,4,2.36,0.53,12,6.0,5,1.0,13,13.0,GROUP STAGE
22/06/2026,France,3,0,Iraq,1,0.0,2,0.0,0,1.0,0,0.0,1,1.0,3,1.0,4,2.0,6,2.67,0.63,19,4.0,5,0.0,8,4.0,GROUP STAGE
23/06/2026,Norway,3,2,Senegal,1,0.0,2,2.0,0,0.0,0,0.0,4,1.0,1,3.0,5,4.0,9,2.20,1.72,13,16.0,7,4.0,13,5.0,GROUP STAGE
23/06/2026,Jordan,1,2,Algeria,1,0.0,0,2.0,1,1.0,0,0.0,0,3.0,1,7.0,1,10.0,11,0.63,1.89,8,17.0,4,8.0,11,6.0,GROUP STAGE
23/06/2026,Portugal,5,0,Uzbekistan,3,0.0,2,0.0,1,1.0,0,0.0,1,0.0,2,2.0,3,2.0,5,2.61,0.24,17,7.0,9,2.0,14,15.0,GROUP STAGE
23/06/2026,England,0,0,Ghana,0,0.0,0,0.0,1,1.0,0,0.0,3,1.0,6,1.0,9,2.0,11,1.36,0.17,19,2.0,3,1.0,14,24.0,GROUP STAGE
24/06/2026,Panama,0,1,Croatia,0,0.0,0,1.0,1,1.0,0,0.0,0,1.0,7,1.0,7,2.0,9,0.55,1.65,8,6.0,1,2.0,19,12.0,GROUP STAGE
24/06/2026,Colombia,1,0,D.R. Congo,0,0.0,1,0.0,2,1.0,0,0.0,2,2.0,3,2.0,5,4.0,9,0.98,0.37,20,7.0,9,1.0,12,16.0,GROUP STAGE
24/06/2026,Bosnia & Herzegovina,3,1,Qatar,2,1.0,1,0.0,1,1.0,0,0.0,4,1.0,1,4.0,5,5.0,10,0.68,0.77,14,9.0,5,3.0,9,14.0,GROUP STAGE
24/06/2026,Switzerland,2,1,Canada,0,0.0,2,1.0,1,2.0,0,0.0,2,1.0,0,6.0,2,7.0,9,1.11,1.66,6,13.0,4,7.0,19,13.0,GROUP STAGE
24/06/2026,Morocco,4,2,Haiti,2,2.0,2,0.0,0,3.0,0,0.0,3,0.0,6,1.0,9,1.0,10,3.76,0.67,22,9.0,11,2.0,10,18.0,GROUP STAGE
24/06/2026,Scotland,0,3,Brazil,0,2.0,0,1.0,1,2.0,0,0.0,3,3.0,4,3.0,7,6.0,13,1.04,4.33,14,21.0,5,9.0,10,11.0,GROUP STAGE
25/06/2026,Czech Republic,0,3,Mexico,0,0.0,0,3.0,0,1.0,0,0.0,0,0.0,5,1.0,5,1.0,6,0.53,1.74,13,11.0,1,5.0,9,13.0,GROUP STAGE
25/06/2026,South Africa,1,0,South Korea,0,0.0,1,0.0,1,1.0,0,0.0,4,2.0,0,4.0,4,6.0,10,1.16,0.9,13,8.0,4,3.0,7,9.0,GROUP STAGE
25/06/2026,Curacao,0,2,Ivory Coast,0,1.0,0,1.0,2,1.0,0,0.0,3,2.0,1,4.0,4,6.0,10,0.50,1.31,11,7.0,2,3.0,11,6.0,GROUP STAGE
25/06/2026,Ecuador,2,1,Germany,1,1.0,1,0.0,3,1.0,0,0.0,1,1.0,2,1.0,3,2.0,5,1.27,0.65,7,11.0,3,3.0,15,10.0,GROUP STAGE
26/06/2026,Japan,1,1,Sweden,0,0.0,1,1.0,1,2.0,0,0.0,1,3.0,1,5.0,2,8.0,10,1.21,0.64,8,11.0,3,5.0,20,11.0,GROUP STAGE
26/06/2026,Tunisia,1,3,Netherlands,0,2.0,1,1.0,0,0.0,0,0.0,1,3.0,3,3.0,4,6.0,10,0.62,1.85,10,20.0,4,7.0,11,10.0,GROUP STAGE
26/06/2026,Paraguay,0,0,Australia,0,0.0,0,0.0,1,1.0,0,0.0,0,3.0,1,0.0,1,3.0,4,0.24,0.55,7,12.0,2,5.0,9,6.0,GROUP STAGE
26/06/2026,Turkey,3,2,USA,2,1.0,1,1.0,0,1.0,0,0.0,2,5.0,0,4.0,2,9.0,11,3.01,2.13,9,18.0,3,7.0,13,13.0,GROUP STAGE
26/06/2026,Norway,1,4,France,1,3.0,0,1.0,1,1.0,0,0.0,1,3.0,3,2.0,4,5.0,9,1.70,1.5,10,18.0,4,9.0,9,11.0,GROUP STAGE
26/06/2026,Senegal,5,0,Iraq,1,0.0,4,0.0,2,2.0,0,1.0,6,3.0,6,0.0,12,3.0,15,3.01,1.04,28,6.0,12,1.0,10,11.0,GROUP STAGE
27/06/2026,Cape Verde,0,0,Saudi Arabia,0,0.0,0,0.0,1,3.0,0,0.0,2,0.0,2,2.0,4,2.0,6,1.39,0.39,15,7.0,2,3.0,10,16.0,GROUP STAGE
27/06/2026,Uruguay,0,1,Spain,0,1.0,0,0.0,3,1.0,1,0.0,0,5.0,1,1.0,1,6.0,7,0.20,0.86,5,6.0,1,1.0,14,14.0,GROUP STAGE
27/06/2026,Egypt,1,1,Iran,1,1.0,0,0.0,3,4.0,0,0.0,4,0.0,4,2.0,8,2.0,10,0.84,1.97,15,13.0,3,4.0,11,16.0,GROUP STAGE
27/06/2026,New Zealand,1,5,Belgium,0,1.0,1,4.0,2,0.0,0,0.0,1,4.0,4,4.0,5,8.0,13,0.25,3.69,6,35.0,2,10.0,10,7.0,GROUP STAGE
27/06/2026,Croatia,2,1,Ghana,1,0.0,1,1.0,1,1.0,0,0.0,0,0.0,3,2.0,3,2.0,5,0.42,0.74,8,6.0,4,1.0,9,13.0,GROUP STAGE
27/06/2026,Panama,0,2,England,0,0.0,0,2.0,2,1.0,0,0.0,1,5.0,2,2.0,3,7.0,10,0.58,1.49,13,17.0,2,6.0,16,13.0,GROUP STAGE
28/06/2026,Colombia,0,0,Portugal,0,0.0,0,0.0,1,0.0,0,0.0,1,0.0,4,2.0,5,2.0,7,1.70,0.93,24,13.0,6,2.0,12,6.0,GROUP STAGE
28/06/2026,D.R. Congo,3,1,Uzbekistan,0,1.0,3,0.0,3,2.0,0,0.0,1,3.0,1,1.0,2,4.0,6,2.18,0.2,19,3.0,4,1.0,6,16.0,GROUP STAGE
28/06/2026,Algeria,3,3,Austria,1,1.0,2,2.0,0,1.0,0,0.0,0,2.0,0,1.0,0,3.0,3,1.67,1.49,12,10.0,5,3.0,3,7.0,GROUP STAGE
28/06/2026,Jordan,1,3,Argentina,0,2.0,1,1.0,3,0.0,0,0.0,1,2.0,1,4.0,2,6.0,8,0.76,2.13,5,12.0,1,4.0,13,7.0,GROUP STAGE
28/06/2026,South Africa,0,1,Canada,0,0.0,0,1.0,0,2.0,0,0.0,1,3.0,0,1.0,1,4.0,5,0.14,1.38,6,12.0,1,7.0,10,16.0,ROUND OF 32
29/06/2026,Brazil,2,1,Japan,0,1.0,2,0.0,2,3.0,0,0.0,2,2.0,4,0.0,6,2.0,8,2.07,0.33,19,5.0,7,2.0,4,13.0,ROUND OF 32
29/06/2026,Germany,1,1p,Paraguay,0,1.0,1,0.0,2,2.0,0,0.0,6,2.0,4,2.0,16,6.0,22,1.57,0.35,21,7.0,6,3.0,18,12.0,ROUND OF 32
29/06/2026,Netherlands,1,1p,Morocco,0,0.0,1,1.0,0,1.0,0,0.0,4,2.0,1,5.0,5,8.0,13,0.24,1.38,6,11.0,2,5.0,18,15.0,ROUND OF 32
30/06/2026,Ivory Coast,1,2,Norway,0,1.0,1,1.0,0,1.0,0,0.0,9,2.0,5,1.0,14,3.0,17,1.49,1.9,14,9.0,5,4.0,6,7.0,ROUND OF 32
30/06/2026,France,3,0,Sweden,1,0.0,2,0.0,0,0.0,0,0.0,6,0.0,3,1.0,9,1.0,10,3.24,0.7,25,8.0,12,3.0,14,10.0,ROUND OF 32
30/06/2026,Mexico,2,0,Ecuador,2,0.0,0,0.0,0,3.0,0,1.0,1,5.0,2,3.0,3,8.0,11,1.05,0.75,15,7.0,3,1.0,10,14.0,ROUND OF 32
01/07/2026,England,2,1,D.R. Congo,0,1.0,2,0.0,1,1.0,0,0.0,2,1.0,3,2.0,5,3.0,8,2.16,0.77,16,7.0,7,2.0,10,12.0,ROUND OF 32
01/07/2026,Belgium,3,2,Senegal,0,1.0,2,1.0,1,1.0,0,0.0,2,1.0,2,0.0,4,2.0,6,1.74,3.58,19,19.0,5,5.0,22,12.0,ROUND OF 32
01/07/2026,USA,2,0,Bosnia & Herzegovina,1,0.0,1,0.0,0,1.0,1,0.0,3,2.0,1,1.0,4,3.0,7,0.88,0.25,8,10.0,2,3.0,7,13.0,ROUND OF 32
02/07/2026,Spain,3,0,Austria,1,0.0,2,0.0,0,1.0,0,0.0,6,0.0,3,0.0,9,0.0,9,2.80,0.32,23,5.0,10,0.0,8,15.0,ROUND OF 32
02/07/2026,Portugal,2,1,Croatia,0,0.0,2,1.0,1,2.0,0,0.0,6,0.0,3,5.0,9,5.0,14,2.20,1.34,15,13.0,3,6.0,6,12.0,ROUND OF 32
02/07/2026,Switzerland,2,0,Algeria,1,0.0,1,0.0,0,2.0,0,0.0,2,1.0,2,1.0,4,2.0,6,2.52,0.73,11,8.0,5,2.0,10,12.0,ROUND OF 32
03/07/2026,Australia,1,1p,Egypt,0,1.0,1,0.0,0,2.0,0,0.0,3,0.0,1,3.0,4,7.0,11,0.84,1.32,16,14.0,1,3.0,12,14.0,ROUND OF 32
03/07/2026,Argentina,3,2,Cape Verde,1,0.0,0,1.0,1,1.0,0,0.0,0,0.0,5,2.0,8,8.0,16,2.26,0.47,22,16.0,10,5.0,13,12.0,ROUND OF 32
03/07/2026,Colombia,1,0,Ghana,1,0.0,0,0.0,2,3.0,0,0.0,1,2.0,2,0.0,3,2.0,5,2.04,0.27,20,8.0,8,0.0,14,10.0,ROUND OF 32
04/07/2026,Canada,0,3,Morocco,0,0.0,0,3.0,4,4.0,0,0.0,5,0.0,6,1.0,11,1.0,12,0.84,0.82,10,5.0,3,4.0,24,14.0,ROUND OF 16
04/07/2026,Paraguay,0,1,France,0,0.0,0,1.0,0,3.0,0,0.0,0,7.0,2,5.0,2,12.0,14,0.13,1.45,5,15.0,0,5.0,13,11.0,ROUND OF 16
05/07/2026,Brazil,1,2,Norway,0,0.0,1,2.0,1,0.0,0,0.0,1,3.0,4,2.0,5,5.0,10,2.61,1.05,14,9.0,4,5.0,7,6.0,ROUND OF 16
05/07/2026,Mexico,2,3,England,1,2.0,1,1.0,2,3.0,0,1.0,4,2.0,8,0.0,12,2.0,14,1.88,1.61,20,6.0,5,5.0,14,7.0,ROUND OF 16
06/07/2026,Portugal,0,1,Spain,0,0.0,0,1.0,2,1.0,0,0.0,3,2.0,0,5.0,3,7.0,10,0.63,1.69,10,15.0,2,6.0,9,13.0,ROUND OF 16
06/07/2026,USA,1,4,Belgium,1,2.0,0,2.0,2,0.0,0,0.0,1,3.0,2,2.0,3,5.0,8,0.63,2.01,7,15.0,2,7.0,11,9.0,ROUND OF 16
07/07/2026,Argentina,3,2,Egypt,0,1.0,3,1.0,0,3.0,0,0.0,1,1.0,5,0.0,6,1.0,7,2.84,0.89,19,5.0,7,2.0,13,11.0,ROUND OF 16
07/07/2026,Switzerland,p0,0,Colombia,0,0.0,0,0.0,3,2.0,0,0.0,1,4.0,2,0.0,3,7.0,10,0.39,1.09,7,15.0,2,3.0,22,21.0,ROUND OF 16
09/07/2026,France,2,0,Morocco,0,0.0,2,0.0,0,1.0,0,0.0,3,1.0,2,4.0,5,5.0,10,3.69,0.14,22,5.0,8,1.0,10,13.0,QUARTER FINALS
10/07/2026,Spain,2,1,Belgium,1,1.0,1,0.0,2,2.0,0,0.0,3,0.0,2,1.0,5,1.0,6,2.10,0.37,17,5.0,8,2.0,13,18.0,QUARTER FINALS
11/07/2026,Norway,1,2,England,1,1.0,0,0.0,1,0.0,0,0.0,0,2.0,5,1.0,7,4.0,11,0.68,1.04,13,14.0,4,8.0,10,8.0,QUARTER FINALS
11/07/2026,Argentina,3,1,Switzerland,1,0.0,0,1.0,3,2.0,0,1.0,2,1.0,3,1.0,8,2.0,10,1.94,0.47,22,11.0,7,5.0,14,18.0,QUARTER FINALS
14/07/2026,France,0,2,Spain,0,1.0,0,1.0,2,1.0,0,0.0,3,1.0,4,0.0,7,1.0,8,0.30,1.63,10,10.0,3,2.0,11,12.0,SEMI FINALS
15/07/2026,England,1,2,Argentina,0,0.0,1,2.0,1,3.0,0,0.0,1,1.0,0,5.0,1,6.0,7,0.53,1.84,5,15.0,2,5.0,11,15.0,SEMI FINALS
19/07/2026,Spain,1,0,Argentina,0,0.0,0,0.0,0,5.0,0,1.0,2,0.0,7,1.0,9,4.0,13,2.29,0.22,20,2.0,12,0.0,21,25.0,FINAL
